토목건축
환경
군악
항공기 지상장비정비
항공기 기체정비
항공기 기관정비
항공기 제작정비
기계설비
항공기 초과저지
항공의무
의장
운항관제
항공통제
대공포운용
단거리 유도무기 운용
중거리 유도무기 발사운용
중거리 유도무기 추적운용
장거리 유도무기 발사운용
장거리 유도무기 추적운용
기상관측
장비물자보급
유류보급
조리
항공운수
소방
재정
인사교육
항공 정보운영
특수정보
군사경찰
일반 차량운전
특수 차량운전
방공포 차량운전
공병장비운전
경장갑차 운전
차량정비
정보체계 관리
보안체계관리
지상레이더체계정비
무선통신체계정비
전술항공통신체계정비
유선통신체계정비
항공전자 장비정비
항공기유압전기정비
항공기 무기정비
항공 탄약정비
방공 유도무기 정비
전력설비
화생방
