공군본부
공군사관학교본부
공군사관학교 생도대
공군사관학교 제55교육비행전대
공군사관학교 근무지원단
공군대학
항공우주전투발전단
항공안전단
공군검찰단
공군군사경찰단
공군기상단
공군수사단
공군시험평가단
사이버작전센터
역사기록관리단
전력지원체계사업단
제7항공통신전대
제35비행전대
제53특수비행전대
제91항공공병전대
지능정보체계관리단
항공우주의료원
공군군악의장대대
공군작전사령부
항공정보단
작전사령부 근무지원단
작전정보통신단
항공지원작전단
우주작전전대
공중전투사령부본부
제1전투비행단
제8전투비행단
제10전투비행단
제11전투비행단
제16전투비행단
제17전투비행단
제18전투비행단
제19전투비행단
제20전투비행단
제29전술개발훈련비행전대
제38전투비행전대
기동정찰사령부본부
제3훈련비행단
제5공중기동비행단
제15특수임무비행단
제39정찰비행단
제6탐색구조비행전대
제28비행전대
제51항공통제비행전대
미사일방어사령부본부
제1미사일방어여단본부
제111미사일방어대대
제111미사일방어대대
제133미사일방어대대
제2미사일방어여단본부
제122미사일방어대대
제155미사일방어대대
제199미사일방어대대
제3미사일방어여단본부
제166미사일방어대대
제177미사일방어대대
제188미사일방어대대
방공관제사령부본부
제31방공통제전대
제32방공통제전대
제33방공통제전대
제33방공통제전대 제305방공관제대대
제33방공통제전대 제309방공관제대대
제33방공통제전대 제312방공관제대대
제33방공통제전대 제313방공관제대대
제33방공통제전대 제314방공관제대대
제33방공통제전대 제315방공관제대대
제33방공통제전대 제1방공관제대
제33방공통제전대 제2방공관제대
제33방공통제전대 제3방공관제대
제33방공통제전대 제5방공관제대
제33방공통제전대 정비대
제34방공통제전대
제34방공통제전대 제302방공관제대대
제34방공통제전대 제307방공관제대대
제34방공통제전대 제308방공관제대대
제34방공통제전대 제311방공관제대대
제34방공통제전대 제317방공관제대대
제34방공통제전대 제318방공관제대대
제34방공통제전대 제319방공관제대대
제34방공통제전대 제316방공관제대대
제34방공통제전대 정비대
항공교통지원센터
교육사령부본부
항공과학고등학교
방공포병학교
군수1학교
군수2학교
행정학교
공군정보통신학교
항공우주통제학교
기본군사훈련단
제27예비단
교육사령부 기지병원
보라매리더십센터
교육사령부기지지원전대
교수학습혁신센터
군수사령부본부
항공자원관리단
제60수송전대
항공기술연구소
항공소프트웨어지원소
종합보급창
제81항공정비창
제82항공정비창
제83정보통신정비창
제85정밀표준정비창
제86항공전자정비창
군수사령부 군악대
